rowId,Direction,Speed,SpeedError
0,140.3134534,22.52797851,2.797669768
1,136.1047294,20.34386659,0.475397772
2,140.7333169,18.13825395,1.149379497
3,145.6698728,16.27453366,0.230572769
4,145.3206398,13.20662181,0.482229987
5,142.1110485,15.33840594,1.336658418
6,142.7592053,13.2971217,0.22541343
7,142.4215745,13.77177319,1.057935457
8,143.9473276,15.08320572,0.018328294
9,147.0865624,16.739775,0.200796357
10,147.5687894,15.0344882,0.978073461
11,148.3537588,19.29643117,0.270831305
12,150.4735349,21.85463115,0.310651316
13,149.5074882,18.98804321,2.415121813
14,148.1467387,18.8879278,0.61403666
15,149.9804923,20.49868154,2.347917671
16,147.0975172,22.08276716,3.075137257
17,143.4012947,22.15901872,1.900363956
18,146.4230856,21.65151594,2.305889267
19,142.6973462,22.07951879,0.952236993
20,145.3900892,22.63279528,1.482224883
21,142.6607775,26.41981305,2.021851014
22,146.8242544,23.96039195,0.891685788
23,143.4676679,23.50960198,1.498969165
24,146.2926861,23.18912593,2.516878555
25,146.0589526,21.42485181,1.111810075
26,148.7360605,21.48441659,3.338734192
27,143.9121773,23.65715304,1.258065182
28,144.9454952,25.69424199,1.423703646
29,142.8649592,25.58308732,2.593245074
30,143.4541414,27.92399923,1.233368208
31,146.862607,25.37957527,2.061222361
32,151.0846734,24.02655344,2.660603033
33,150.1400023,26.02139807,1.457333109
34,148.0712984,28.71955959,2.859683532
35,150.9242235,29.71594569,2.674183629
36,148.5895948,36.08786051,0.416387087
37,143.9810696,35.39949351,2.666157619
38,145.0064484,35.45940199,4.352472072
39,140.4781788,36.24131764,4.768835945
40,137.4916983,38.21936891,4.37178168
41,140.5137093,39.82611804,1.23353159
42,138.3364251,38.37064565,4.075488822
43,140.6865619,40.1237556,3.092122646
44,139.8253427,38.1419552,4.194733956
45,136.4216782,34.00509,2.453894544
46,133.8606839,36.20257628,3.556452047
47,132.6857736,34.03679202,1.687940818
48,135.7536484,34.59376384,1.492221146
49,132.0094677,36.01407877,3.988153892
50,136.3224558,40.38866548,2.897925704
51,140.8692736,38.83434886,5.597526449
52,139.5993495,40.20078853,3.00475325
53,142.7721072,42.98853418,2.855208743
54,141.2632253,41.2845861,4.458294433
55,144.8510437,41.03543715,3.952049506
56,145.677161,40.07155352,4.433777994
57,140.7352607,41.51071296,5.717832783
58,145.6793086,43.53382161,4.351061304
59,141.5068434,45.22743271,3.890573944
60,137.9364402,49.42556263,3.501845365
61,138.8836017,52.26086697,3.429737811
62,137.1374464,49.54267887,5.530421252
63,142.0434802,49.49955655,5.027978213
64,137.1032987,51.43278959,4.911878281
65,141.9687481,53.58935486,4.530037432
66,142.7007787,54.44475184,5.603708963
67,145.7060262,56.32112262,5.247345315
68,149.339352,54.74412844,3.437917887
69,145.5946776,54.29395186,6.500252788
70,142.7512911,52.58907054,5.167486743
71,138.3443315,54.19159848,5.907188422
72,140.5924513,54.66198322,5.026841668
73,136.4929762,52.04060025,4.225019721
74,133.4529266,52.55216834,7.278909871
75,137.0691556,48.14543671,6.240948246
76,135.5603172,45.10243349,3.773540521
77,138.6955258,43.10423127,6.054434975
78,141.1765163,44.20088848,5.291813372
79,142.1683862,42.98781837,4.571423102
80,139.8277956,44.47297386,3.192178349
81,142.7027736,46.43612628,2.841383072
82,147.2706873,44.07072117,3.97383009
83,151.0769351,40.89522381,4.752676279
84,148.0527744,37.61902936,3.590076125
85,150.9344245,37.92490468,4.098674201
86,146.8079735,38.95097075,4.75264022
87,147.7577701,39.97012964,4.232106611
88,149.8105681,38.56316335,2.485334228
89,149.2102849,38.63820768,2.102569016
90,144.6299763,39.67921013,4.394076086
91,149.0217475,38.90219709,3.537064378
92,148.2748712,36.04365077,2.998816788
93,151.9106985,35.19735471,4.066923246
94,148.1707509,35.83713528,3.841404224
95,146.5850143,32.73047786,2.625500437
96,141.7857536,32.9150989,2.227578818
97,144.7003016,33.8656268,2.662416304
98,140.499747,34.20821572,0.594279992
99,139.0892902,31.66528239,3.073836836
100,123.2061819,30.37436671,3.76984269
101,124.7509676,30.67476912,4.533513376
102,121.5657973,30.63999758,2.571565258
103,121.7550906,31.16670191,1.929718344
